station_from_id,station_from_name,station_from_lat,station_from_lon,station_to_id,station_to_name,station_to_lat,station_to_lon,line,edge_distance_km
940GZZLUBKH,Buckhurst Hill Underground Station,51.626605,0.046757,940GZZLULGN,Loughton Underground Station,51.641443,0.055476,central,1.7562218819351891
940GZZLULGN,Loughton Underground Station,51.641443,0.055476,940GZZLUDBN,Debden Underground Station,51.645386,0.083782,central,2.0017877393883268
940GZZLUDBN,Debden Underground Station,51.645386,0.083782,940GZZLUTHB,Theydon Bois Underground Station,51.671759,0.103085,central,3.2206719995525463
940GZZLUTHB,Theydon Bois Underground Station,51.671759,0.103085,940GZZLUEPG,Epping Underground Station,51.69368,0.113767,central,2.546326110667947
940GZZLULYS,Leytonstone Underground Station,51.568324,0.008194,940GZZLUWSD,Wanstead Underground Station,51.575501,0.028527,central,1.6160355411386658
940GZZLUWSD,Wanstead Underground Station,51.575501,0.028527,940GZZLURBG,Redbridge Underground Station,51.576243,0.04536,central,1.1661697075003088
940GZZLURBG,Redbridge Underground Station,51.576243,0.04536,940GZZLUGTH,Gants Hill Underground Station,51.576544,0.066185,central,1.4394878599519487
940GZZLUGTH,Gants Hill Underground Station,51.576544,0.066185,940GZZLUNBP,Newbury Park Underground Station,51.575726,0.090004,central,1.6485177908094844
940GZZLUNBP,Newbury Park Underground Station,51.575726,0.090004,940GZZLUBKE,Barkingside Underground Station,51.585689,0.088585,central,1.1121655775013506
940GZZLUBKE,Barkingside Underground Station,51.585689,0.088585,940GZZLUFLP,Fairlop Underground Station,51.595618,0.091004,central,1.1166298747028716
940GZZLUFLP,Fairlop Underground Station,51.595618,0.091004,940GZZLUHLT,Hainault Underground Station,51.603659,0.093482,central,0.9103521803470609
940GZZLUWOF,Woodford Underground Station,51.606899,0.03397,940GZZLURVY,Roding Valley Underground Station,51.617199,0.043647,central,1.3259784510214259
940GZZLURVY,Roding Valley Underground Station,51.617199,0.043647,940GZZLUCWL,Chigwell Underground Station,51.617916,0.075041,central,2.1689632591790873
940GZZLUCWL,Chigwell Underground Station,51.617916,0.075041,940GZZLUGGH,Grange Hill Underground Station,51.613378,0.092066,central,1.2792147515533197
940GZZLUGGH,Grange Hill Underground Station,51.613378,0.092066,940GZZLUHLT,Hainault Underground Station,51.603659,0.093482,central,1.0851181866849227
940GZZLUEBY,Ealing Broadway Underground Station,51.515017,-0.301457,940GZZLUWTA,West Acton Underground Station,51.518001,-0.28098,central,1.4552458206501493
940GZZLUWTA,West Acton Underground Station,51.518001,-0.28098,940GZZLUNAN,North Acton Underground Station,51.523524,-0.259755,central,1.5917758307169316
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,51.49339,-0.22503,940GZZLUGHK,Goldhawk Road Underground Station,51.502005,-0.226715,circle,0.9650195407459996
940GZZLUGHK,Goldhawk Road Underground Station,51.502005,-0.226715,940GZZLUSBM,Shepherd's Bush Market Underground Station,51.505579,-0.226375,circle,0.39810682116042234
940GZZLUSBM,Shepherd's Bush Market Underground Station,51.505579,-0.226375,940GZZLUWLA,Wood Lane Underground Station,51.509669,-0.22453,circle,0.47237303174780576
940GZZLUWLA,Wood Lane Underground Station,51.509669,-0.22453,940GZZLULRD,Latimer Road Underground Station,51.513389,-0.217799,circle,0.6229580146432765
940GZZLULRD,Latimer Road Underground Station,51.513389,-0.217799,940GZZLULAD,Ladbroke Grove Underground Station,51.517449,-0.210391,circle,0.6830659968931708
940GZZLULAD,Ladbroke Grove Underground Station,51.517449,-0.210391,940GZZLUWSP,Westbourne Park Underground Station,51.52111,-0.201065,circle,0.7629549573932685
940GZZLUWSP,Westbourne Park Underground Station,51.52111,-0.201065,940GZZLURYO,Royal Oak Underground Station,51.519113,-0.188748,circle,0.8806671787882604
940GZZLURYO,Royal Oak Underground Station,51.519113,-0.188748,940GZZLUPAH,Paddington (H&C Line)-Underground,51.518187,-0.178306,circle,0.7298044913113206
940GZZLUPAH,Paddington (H&C Line)-Underground,51.518187,-0.178306,940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,circle,0.748152663434698
940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,circle,0.8132696042602869
940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,940GZZLUGPS,Great Portland Street Underground Station,51.52384,-0.144262,circle,0.8966095509134202
940GZZLUGPS,Great Portland Street Underground Station,51.52384,-0.144262,940GZZLUESQ,Euston Square Underground Station,51.525604,-0.135829,circle,0.6155097999323507
940GZZLUESQ,Euston Square Underground Station,51.525604,-0.135829,940GZZLUKSX,King's Cross St. Pancras Underground Station,51.530663,-0.123194,circle,1.0394362725275685
940GZZLUKSX,King's Cross St. Pancras Underground Station,51.530663,-0.123194,940GZZLUFCN,Farringdon Underground Station,51.520252,-0.104913,circle,1.7145413120304283
940GZZLUFCN,Farringdon Underground Station,51.520252,-0.104913,940GZZLUBBN,Barbican Underground Station,51.520275,-0.097993,circle,0.47879947386404725
940GZZLUBBN,Barbican Underground Station,51.520275,-0.097993,940GZZLUMGT,Moorgate Underground Station,51.518176,-0.088322,circle,0.7086852017576026
940GZZLUMGT,Moorgate Underground Station,51.518176,-0.088322,940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,circle,0.3667186501476433
940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,940GZZLUALD,Aldgate Underground Station,51.514246,-0.075689,circle,0.6242222419166865
