station_id,station_name,lat,lon,lines_served,num_lines
910GHTRWTM4,Heathrow Terminal 4 Rail Station,51.458268,-0.445463,"['elizabeth', 'piccadilly']",2
940GZZLUHR4,Heathrow Terminal 4 Underground Station,51.458524,-0.445771,"['elizabeth', 'piccadilly']",2
910GHTRWTM5,Heathrow Terminal 5 Rail Station,51.470053,-0.490589,"['elizabeth', 'piccadilly']",2
940GZZLUHR5,Heathrow Terminal 5 Underground Station,51.470052,-0.49056,"['elizabeth', 'piccadilly']",2
910GHTRWAPT,Heathrow Terminals 2 & 3 Rail Station,51.47098,-0.45803,"['elizabeth', 'piccadilly']",2
940GZZLUHRC,Heathrow Terminals 2 & 3 Underground Station,51.471235,-0.452265,"['elizabeth', 'piccadilly']",2
940GZZLUHCL,Hendon Central Underground Station,51.583301,-0.226424,['northern'],1
940GZZDLHEQ,Heron Quays DLR Station,51.503379,-0.021421,['dlr'],1
940GZZLUHBT,High Barnet Underground Station,51.650541,-0.194298,['northern'],1
940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,"['circle', 'district']",2
940GZZLUHAI,Highbury & Islington Underground Station,51.54635,-0.103324,['victoria'],1
940GZZLUHGT,Highgate Underground Station,51.577532,-0.145857,['northern'],1
940GZZLUHGD,Hillingdon Underground Station,51.553715,-0.449828,"['metropolitan', 'piccadilly']",2
940GZZLUHBN,Holborn Underground Station,51.51758,-0.120475,"['central', 'piccadilly']",2
940GZZLUHPK,Holland Park Underground Station,51.507143,-0.205679,['central'],1
940GZZLUHWY,Holloway Road Underground Station,51.552697,-0.113244,['piccadilly'],1
940GZZLUHCH,Hornchurch Underground Station,51.554093,0.219116,['district'],1
940GZZLUHWC,Hounslow Central Underground Station,51.471295,-0.366578,['piccadilly'],1
940GZZLUHWE,Hounslow East Underground Station,51.473213,-0.356474,['piccadilly'],1
940GZZLUHWT,Hounslow West Underground Station,51.473469,-0.386544,['piccadilly'],1
940GZZLUHPC,Hyde Park Corner Underground Station,51.503035,-0.152441,['piccadilly'],1
940GZZLUICK,Ickenham Underground Station,51.56177,-0.442225,"['metropolitan', 'piccadilly']",2
910GILFORD,Ilford Rail Station,51.559118,0.06968,['elizabeth'],1
940GZZDLISL,Island Gardens DLR Station,51.487811,-0.010139,['dlr'],1
910GIVER,Iver Rail Station,51.508503,-0.506726,['elizabeth'],1
940GZZLUKNG,Kennington Underground Station,51.488337,-0.105963,['northern'],1
940GZZLUKSL,Kensal Green Underground Station,51.530539,-0.225016,['bakerloo'],1
940GZZLUKOY,Kensington (Olympia) Underground Station,51.497624,-0.210015,['district'],1
940GZZLUKSH,Kentish Town Underground Station,51.550312,-0.140733,['northern'],1
